traveltime,stop_id,stop_name,stop_lat,stop_lon
"(0, 67.0, ['8592000', '8592107', '8592181', '8592180', '8592217', 'Parent8518452', '8592215', '8592114', '8592219', '8501209', 'Parent8518452', '8510543', '8501209', '8501210'])",8592000,"Lausanne, Bossons",46.53934,6.61726
"(1, 'already visited', {'8592053', '8587357', '8501160', '8592055', '8592033', '8591997', '8591994', '8592132', '8592063', '8592119', '8501160:0:1', '8501160:0:2', '8592116', '8592060', '8592066', '8592085', '8592010', '8592115', '8592019', '8591992', '8592001', '8591996', '8592143', '8592076', '8591980', '8592048', '8592111', '8592091', '8591984', '8592096', '8592034', '8592125', '8595004', '8593249', '8592099', '8592030', '8592059', '8592081', '8592071', '8592000', '8595005', '8592135', '8592047', '8592092', '8592104', '8592087', 'Parent8501160', '8592054', '8592035', '8592089', '8591977', '8591987', '8592137', '8592088', '8592003', '8592016', '8592082', '8592067', '8592140', '8592018', '8591982', '8592138', '8592011'})",8591997,"Lausanne, Boissonnet",46.539074,6.6462846
"(0, 55.72, ['8591958', '8510721', '8588983', '8592209', '8510422', '8595521', '8501210'])",8591958,"Ecublens VD, Suchet-Forêt",46.53987,6.5705476
"(1, 'already visited', {'8570417', '8557141', '8570421', '8504166', '8504758', '8570423', '8591904', '8570422', '8570425', '8595474'})",8591904,"Carrouge VD, Ecorcheboeuf",46.59912,6.761107
"(1, 'already visited', {'8588842', '8591931', '8588847', '8594177', '8595148', '8595978', '8594178', '8581920', '8591935', '8591930', '8581922', '8588848', '8588845', '8592204', '8581916', '8506903', '8581924', '8595986', '8581921', '8583748', '8588843', '8591936', '8588846', '8595516', '8588841', '8593816', '8581917', '8591939'})",8583748,"Villars-Ste-Croix, En Coulaye",46.565994,6.55922
"(0, 17.0, ['8518452:0:2', '8501209', '8501210'])",8518452:0:2,Prilly-Malley,46.52623,6.603893
"(1, 'already visited', {'8557141', '8511210', '8570421', '8504166', '8504758', '8570423', '8591904', '8570422', '8511214', '8570425', '8595474', '8504165'})",8511210,"Carrouge VD, Gustave Roud",46.60328,6.771914
"(1, 'already visited', {'8570064', '8501169', '8501165:0:2', '8501168:0:1', '8501166', '8501166:0:1', '8501169:0:2', '8501169:0:1', '8577645', '8501165', '8501170', '8570063', '8501166:0:2', 'Parent8501169', '8501170:0:1', '8501168', 'Parent8501166'})",8501169,Cheseaux,46.584347,6.605959
"(0, 67.0, ['8501160:0:1', '8592041', '8592036', '8592102', '8592103', '8501209', '8501210'])",8501160:0:1,Lausanne-Chauderon,46.523228,6.6260633
"(1, 'already visited', {'8501120:0:3', '8501181:0:1', '8592050:0:F', '8501120:0:70', '8592005', '8501120:0:4', '8592061', '8579254', '8501120:0:6', '8592110', '8501120:0:7', '8592064', '8595933', '8501075', '8592122', '8592072', '8592029', '8591985', '8592090', '8593837', '8591989', '8592133', '8592080', '8591990', '8592050:0:D', '8501181', '8501181:0:2', '8592134', '8592044', '8592027', '8501120:0:1', '8501120:0:5', '8592020', 'Parent8592050', '8592050:0:H', '8501120:0:8', '8591979', '8595936', '8592050', '8592026', '8592121', '8592028', '8592097', '8592077', '8593838', '8592050:0:C', '8591983', '8592079', '8595938', '8591986', '8501120', '8592075', 'Parent8501120', '8595935', '8591818', '8592051', '8592024', 'Parent8501181', '8592062', '8592039', '8579253', '8592040', '8592086', '8592084', '8592197', '8592046', '8592068', '8592052'})",8501075,Lausanne-Ouchy (lac),46.505077,6.6276083
